"date","world_us_sim","north_america_us_sim","europe_us_sim","pacific_us_sim","emerging_us_sim","world_eu_sim","north_america_eu_sim","europe_eu_sim","pacific_eu_sim","emerging_eu_sim"
2008-07-08,3861.70460858005,2345.34461583624,5042.29596907838,2183.14714754129,583.099560693352,4543.59769028366,2524.81394199672,9700.28961679067,2915.84903682454,2788.5139321041
2008-07-09,3831.41479649522,2244.06299856683,5241.25156393587,2213.49696544988,579.577331937157,4486.36008113562,2403.91924271548,10036.5921988973,2942.44146945103,2848.18868538387
2008-07-10,3822.85051122338,2280.4401787339,5064.38242878592,2222.06365895484,578.000708255879,4437.96316010134,2422.14294941311,9613.83792470884,2928.59974069945,2823.23801024941
2008-07-11,3711.56712441418,2216.92026191767,4824.12552180471,2235.45524841105,565.722076531215,4279.56752956369,2338.75831567483,9094.71967010822,2927.07942158094,2816.92750648494
2008-07-12,3702.83591055336,2204.51974948739,4841.91926744974,2228.89650150549,564.509174168292,4272.70973643181,2327.6505132006,9135.3425585345,2918.51538963063,2818.2505154066
2008-07-13,3695.56110913267,2195.4802554462,4865.1623462762,2214.5734846822,563.516792572283,4266.62845161907,2318.99490345247,9184.75307280562,2902.18559226594,2819.7260497547
2008-07-14,3686.80422756321,2183.13532850072,4882.83424525907,2196.701330438,562.31033346218,4259.78086259368,2307.92581211463,9225.11807441554,2882.34614834123,2821.07750239824
2008-07-15,3557.33205015375,2111.44785721937,4671.72844501787,2140.31534390378,547.400624399083,4107.9996208313,2231.00787482308,8821.61340045861,2807.03558046371,2650.87564763827
2008-07-16,3653.78216361964,2220.30590764708,4676.61936931403,2139.44843819005,558.442625193527,4270.84983118982,2374.15722351263,8940.9876103101,2840.84622369216,2703.91923417842
2008-07-17,3785.36579527212,2272.17760081401,4990.34626399021,2169.49574021234,577.117562678768,4380.19579728139,2405.11887771213,9446.32740927714,2851.58932600422,2765.7431546546
2008-07-18,3807.29846751925,2276.18319755669,5137.4709813236,2100.77498735985,579.239955555961,4412.94345701,2413.4305073343,9741.05827232241,2766.10595051111,2726.81316539002
2008-07-19,3818.18094407562,2277.05948618583,5163.79344547843,2109.17866338112,581.136951545521,4426.53753994686,2416.10742155834,9788.53572762707,2777.53660636926,2748.86447582477
