"date","eu_rate","sim_price","sim_gdtr_l1","sim_ndtr_l1","sim_gdtr_l2","sim_ndtr_l2","letf_acwi_eur_sim"
2002-03-12,3.28,366.407280558842,502.164543832831,469.860953098998,829.90565,726.58132,635.364211285771
2002-03-13,3.28,363.749063636035,498.685536327063,466.581786581879,818.31941,716.36348,626.412689274323
2002-03-14,3.27,361.987614411046,496.274102589956,464.324678246403,810.31972,709.35768,620.270351374828
2002-03-15,3.25,363.416502594057,498.248832457222,466.172075609739,816.68412,714.92849,625.125462404723
2002-03-16,3.243,363.907160169339,498.956900011119,466.827135560136,818.92051,716.86347,626.80119343924
2002-03-17,3.237,365.063736078142,500.508064361534,468.288506195991,823.92734,721.27732,630.644277513711
2002-03-18,3.23,365.54508748536,501.207661363041,468.934685110689,826.1454,723.19322,632.303095835694
2002-03-19,3.19,365.954114861568,501.776219057515,469.464567271626,827.93512,724.75354,633.650936807649
2002-03-20,3.12,362.157699590715,496.708386741931,464.713539817782,811.128,710.01156,620.745631075421
2002-03-21,2.99,361.598369378851,495.952996628786,464.004039706151,808.58227,707.77473,618.773945321372
2002-03-22,3.26,361.20120270353,495.45293097723,463.524405751441,806.86735,706.23767,617.414137252204
2002-03-23,3.288,360.335997808875,494.28391494574,462.42746068524,802.97497,702.82079,614.411004312166
2002-03-24,3.312,359.21135941401,492.723750451725,460.975547934327,797.82102,698.33309,610.471908357403
2002-03-25,3.33,358.367098043618,491.590435674908,459.909814442423,794.06613,695.02994,607.568531883643
2002-03-26,3.34,360.234637801544,494.443861531233,462.514384955808,803.19983,702.82813,614.369671673956
2002-03-27,3.33,361.057111921657,495.612899152859,463.603666115283,806.9126,706.06397,617.182331331352
2002-03-28,3.39,363.92151249861,499.550738047108,467.286128785286,819.64802,717.20451,626.904475734958
2002-03-29,3.38,363.075703595001,498.389702312623,466.200083077337,815.74984,713.79355,623.906734672904
2002-03-30,3.36,362.683595334089,497.805026168908,465.662785953772,813.74855,712.07183,622.385665733366
2002-03-31,3.34,362.275487316641,497.335812478446,465.204352747235,812.12786,710.59396,621.077812122493
2002-04-01,3.323,361.776865820718,496.609399519633,464.534279631535,809.66934,708.47155,619.206681009501
2002-04-02,3.31,359.485236310137,493.481229905763,461.6043913058,799.38346,699.4598,611.314338645643
2002-04-03,3.3,357.135858516256,490.328269141536,458.640609658417,789.08433,690.40415,603.384039644343
2002-04-04,3.3,356.028750232864,488.821199617289,457.229819138198,784.1505,686.08398,599.592763112207
2002-04-05,3.3,356.512475805269,489.490834943097,457.854910512278,786.21625,687.88758,601.153459794549
2002-04-06,3.297,356.002883529309,488.816269082799,457.217810674128,783.96648,685.90075,599.401571688154
2002-04-07,3.293,355.593723360915,488.295500831505,456.720656588869,782.21357,684.33696,598.019464354367
2002-04-08,3.29,355.073000011412,487.604309860323,456.068370857228,779.91685,682.31028,596.232924025052
2002-04-09,3.29,354.082986920422,486.264388707794,454.80976321037,775.54848,678.47261,592.863952768386
2002-04-10,3.29,356.180122352995,489.181409269048,457.532893188851,784.77172,686.52586,599.88569768165
2002-04-11,3.29,350.060625948926,480.82977530188,449.70793377728,757.89291,662.97105,579.28798528103
2002-04-12,3.28,350.698456475482,481.718209348078,450.535731289716,760.61417,665.34225,581.344875806408
2002-04-13,3.276,350.678041220678,481.717538931451,450.529543092694,760.53237,665.25428,581.252952073946
2002-04-14,3.274,350.652943855986,481.654284594825,450.478506065021,760.25302,665.03391,581.045350796495
