date,days,europe_us_price,europe_us_ndtr_l1,europe_us_gdtr_l1,europe_us_ndtr_l2,europe_us_gdtr_l2
1996-12-15,366,874.63,1469.70729972606,1639.5841499268,2463.03365,3065.2682
1996-12-16,366,874.624,1469.76482391951,1639.66694532971,2462.7784,3065.02015
1996-12-17,366,875.316,1470.99666033174,1641.05957859152,2466.47071,3069.68414
1996-12-18,366,879.059,1477.39819512515,1648.22493259791,2487.48668,3095.92868
1996-12-19,366,882.046,1482.51750253805,1653.95788967199,2504.29121,3116.92524
1996-12-20,366,888.64,1493.73591851493,1666.50249382157,2541.76433,3163.6744
1996-12-21,366,892.452,1500.25680414785,1673.80172357855,2563.52251,3190.84792
1996-12-22,366,895.625,1505.69386578021,1679.89017691491,2581.66576,3213.51663
1996-12-23,366,897.658,1509.19627129352,1683.8176445768,2593.22775,3227.98433
1996-12-24,366,898.811,1511.20880582573,1686.08201984591,2599.70196,3236.11608
1996-12-25,366,898.867,1511.37240357038,1686.28365386336,2599.82174,3236.33852
1996-12-26,366,898.923,1511.53600935699,1686.48530813739,2599.93299,3236.55034
1996-12-27,366,899.857,1513.17886268566,1688.33725264434,2605.16775,3243.13962
1996-12-28,366,902.423,1517.58706716523,1693.27674589624,2619.92886,3261.59626
1996-12-29,366,906.67,1524.84950262039,1701.40542866945,2644.58422,3292.38834
1996-12-30,366,909.176,1529.15681257584,1706.23245737796,2659.04586,3310.47368
1996-12-31,366,906.987,1525.56703108574,1702.2497432647,2646.02679,3294.35341
1997-01-01,365,906.655,1525.07979240143,1701.72567847902,2643.80341,3291.66114
1997-01-02,365,890.889,1498.72101353238,1672.34551841016,2551.91612,3177.37971
1997-01-03,365,892.662,1501.78437587255,1675.78316841437,2561.91025,3189.89706
1997-01-04,365,892.831,1502.13765950438,1676.19631490909,2562.67588,3190.92242
1997-01-05,365,892.951,1502.40854513731,1676.5175437868,2563.16027,3191.59773
1997-01-06,365,893.123,1502.7669354185,1676.93640263765,2563.93686,3192.63682
1997-01-07,365,894.001,1504.31581835705,1678.68362736775,2568.7799,3198.73911
1997-01-08,365,896.432,1508.4971911016,1683.37029821943,2582.61716,3216.04838
1997-01-09,365,898.554,1512.15411497826,1687.47119598439,2594.68984,3231.15869
1997-01-10,365,893.484,1503.74990510478,1678.12002848616,2565.40308,3194.79298
1997-01-11,365,894.536,1505.59337335445,1680.19614583416,2571.25267,3202.14962
1997-01-12,365,897.214,1510.19564659349,1685.35336358181,2586.53086,3221.25742
1997-01-13,365,900.546,1515.91025260785,1691.75376152912,2605.6569,3245.16482
1997-01-14,365,908.194,1528.92463293244,1706.30815622497,2649.95194,3300.44769
1997-01-15,365,911.498,1534.59317455702,1712.65744006364,2669.14304,3324.43903
1997-01-16,365,917.052,1544.07802381194,1723.27113279736,2701.67262,3365.06468
1997-01-17,365,912.793,1537.02893371231,1715.430829478,2676.54352,3333.87003
1997-01-18,365,910.554,1533.35176016151,1711.34981017219,2663.27964,3317.43796
1997-01-19,365,908.715,1530.34197340875,1708.01274760211,2652.3693,3303.93353
1997-01-20,365,906.508,1526.71752299681,1703.99031708371,2639.3525,3287.80737
1997-01-21,365,903.767,1522.2014757332,1698.9737677938,2623.27344,3267.87002
1997-01-22,365,905.775,1525.66840812792,1702.86332188634,2634.76972,3282.26815
1997-01-23,365,908.395,1530.17614803911,1707.91588062688,2649.88179,3301.17609
1997-01-24,365,902.678,1520.67960576345,1697.34455791056,2616.53861,3259.74713
1997-01-25,365,900.329,1516.81647779838,1693.05562504689,2602.79828,3242.71741
1997-01-26,365,898.519,1513.85310124001,1689.76978462054,2592.18428,3229.57761
1997-01-27,365,896.931,1511.26041113111,1686.89720547622,2582.84902,3218.02867
1997-01-28,365,895.486,1508.90654333076,1684.2908720938,2574.35278,3207.52349
1997-01-29,365,893.091,1504.96526352562,1679.91443754798,2560.47089,3190.31471
1997-01-30,365,899.668,1516.18544873535,1692.46817066386,2598.20118,3237.4372
1997-01-31,365,907.663,1529.79996892584,1707.6962587646,2644.40185,3295.12186
1997-02-01,365,907.294,1529.24961688067,1707.10161329496,2642.03079,3292.24338
1997-02-02,365,906.857,1528.58496435157,1706.37943238491,2639.26622,3288.87471
