date,days,world_us_price,world_us_ndtr_l1,world_us_gdtr_l1,world_us_ndtr_l2,world_us_gdtr_l2
1990-12-10,365,603.469,793.483163733626,857.126039657525,1165.18127,1359.55719
1990-12-11,365,601.943,791.516240890241,855.013467698172,1159.16211,1352.57235
1990-12-12,365,604.233,794.570707859455,858.326204874362,1167.85741,1362.76035
1990-12-13,365,608.43,800.138527063473,864.355946397755,1183.97505,1381.61602
1990-12-14,365,602.197,791.992695566163,855.571743400737,1159.61385,1353.23741
1990-12-15,365,599.261,788.178271087295,851.465410362845,1148.1949,1339.95704
1990-12-16,365,596.934,785.163130657815,848.221779424554,1139.16361,1329.46029
1990-12-17,365,595.964,783.921384594049,846.890514265241,1135.31111,1324.99622
1990-12-18,365,601.307,790.997461170088,854.550679417267,1155.56065,1348.67811
1990-12-19,365,602.452,792.538807808067,856.226246029009,1159.82108,1353.6833
1990-12-20,365,595.837,783.888045452715,846.895657557445,1134.2554,1323.89287
1990-12-21,365,588.205,773.89815291162,836.118192023942,1105.10903,1289.92162
1990-12-22,365,586.948,772.281593785869,834.382808674599,1100.26187,1284.29823
1990-12-23,365,585.93,770.977061728924,832.983667014455,1096.31545,1279.72339
1990-12-24,365,585.152,769.983259310957,831.919196636038,1093.27891,1276.20735
1990-12-25,365,584.579,769.257717328867,831.143539979292,1091.00896,1273.58288
1990-12-26,365,584.007,768.532146515003,830.367841777376,1088.66967,1270.87737
1990-12-27,365,583.244,767.558353348191,829.324883488644,1085.63648,1267.36463
1990-12-28,365,587.441,773.128969234287,835.358513640069,1101.15411,1285.52488
1990-12-29,365,587.33,773.004531297708,835.230438186061,1100.55565,1284.84585
1990-12-30,365,587.17,772.815116153126,835.032276028112,1099.77246,1283.95148
1990-12-31,365,587.06,772.69185070869,834.905455238277,1099.23849,1283.34769
1991-01-01,365,587.06,772.712734523656,834.934262660039,1099.11488,1283.22257
1991-01-02,365,587.06,772.733608728032,834.963070081802,1098.92141,1283.01589
1991-01-03,365,585.66,770.93009476908,833.025876908471,1093.5591,1276.79082
1991-01-04,365,583.625,768.293928787633,830.190344187619,1085.8686,1267.85148
1991-01-05,365,580.379,764.067440594773,825.637467030791,1073.71133,1253.69984
1991-01-06,365,575.885,758.19965561407,819.311225929039,1057.01193,1234.24476
1991-01-07,365,570.777,751.522293640662,812.110076756366,1038.19686,1212.31833
1991-01-08,365,564.799,743.698570722468,803.670092121432,1016.39604,1186.90443
1991-01-09,365,568.869,749.103365465705,809.525019873133,1030.99027,1203.98918
1991-01-10,365,568.742,748.956919274973,809.372989473368,1030.37935,1203.29426
1991-01-11,365,570.268,751.005272658723,811.597824794541,1035.81137,1209.67132
1991-01-12,365,568.584,748.82668615182,809.255516347069,1029.5967,1202.44947
1991-01-13,365,565.449,744.743972405301,804.857079209941,1018.16579,1189.14033
1991-01-14,365,563.654,742.419746997339,802.357472434987,1011.60495,1181.51386
1991-01-15,365,563.018,741.610045066946,801.490790307977,1009.19226,1178.72063
1991-01-16,365,558.565,735.792042949348,795.216987521409,993.15439,1160.02978
1991-01-17,365,585.788,771.69644332197,834.036645998498,1089.88572,1273.05965
1991-01-18,365,592.021,779.956362148994,842.979817438885,1113.02456,1300.13618
1991-01-19,365,591.403,779.170552148655,842.139067807785,1110.58519,1297.31313
1991-01-20,365,590.605,778.151041398872,841.046595983928,1107.48272,1293.71806
1991-01-21,365,589.985,777.363607208597,840.204059910463,1105.04569,1290.89752
1991-01-22,365,589.604,776.885701333383,839.694882291313,1103.44153,1289.04617
1991-01-23,365,586.424,772.742633073293,835.231077981699,1091.34174,1274.9548
1991-01-24,365,595.201,784.359358462275,847.804358470682,1123.90797,1313.05253
1991-01-25,365,598.127,788.260086051313,852.03460413642,1134.8361,1325.86313
1991-01-26,365,598.844,789.233619732159,853.095352067491,1137.38622,1328.86883
1991-01-27,365,599.416,790.011750870023,853.944244552161,1139.37542,1331.21721
1991-01-28,365,599.653,790.346151395453,854.312351387729,1140.08535,1332.06738
1991-01-29,365,599.526,790.200656653264,854.161633815376,1139.42485,1331.31609
1991-01-30,365,601.943,793.430334313069,857.666151811207,1148.5045,1341.9667
1991-01-31,365,607.286,800.521489906909,865.347272347625,1168.75903,1365.68269
1991-02-01,365,607.413,800.710626344342,865.558247036396,1169.09204,1366.09241
1991-02-02,365,608.547,802.241016908202,867.223011903606,1173.34169,1371.09105
1991-02-03,365,610.825,805.287843457307,870.529990919057,1182.03401,1381.29059
1991-02-04,365,613.646,809.053234699194,874.614604141405,1192.87272,1394.00134
1991-02-05,365,623.695,822.356340159961,889.014010942832,1231.90375,1439.67163
1991-02-06,365,632.981,834.654273873213,902.327028133476,1268.54232,1482.54861
1991-02-07,365,636.67,839.567707913371,907.65427404674,1283.23683,1499.77286
1991-02-08,365,641.504,845.992878359611,914.616804373676,1302.63824,1522.50197
1991-02-09,365,645.649,851.509338563545,920.596700000573,1319.38316,1542.12627
1991-02-10,365,649.282,856.350231860321,925.84599886349,1334.13828,1559.42481
1991-02-11,365,652.19,860.233929481517,930.059834186574,1345.98655,1573.32419
1991-02-12,365,654.479,863.300774892369,933.389687973329,1355.33274,1584.29657
1991-02-13,365,657.151,866.872618435402,937.266234668897,1366.29587,1597.16175
1991-02-14,365,656.388,865.898930985094,936.223384397611,1362.96763,1593.30487
1991-02-15,365,658.423,868.629713238215,939.189601609227,1371.31916,1603.11426
1991-02-16,365,661.025,872.110746303743,942.968093391551,1382.06356,1615.72492
1991-02-17,365,664.329,876.520345093269,947.751596103163,1395.79096,1631.82673
1991-02-18,365,666.818,879.853105955712,951.369798305672,1406.15414,1643.99269
1991-02-19,365,666.31,879.211051180532,950.684261434457,1403.84044,1641.31771
1991-02-20,365,658.804,869.364673599811,940.054513911941,1372.1024,1604.26972
1991-02-21,365,658.041,868.390611336442,939.0111650986,1368.76127,1600.39712
1991-02-22,365,659.186,869.938550840076,940.695954738364,1373.38536,1605.8411
