date,days,europe_eu_price,europe_eu_ndtr_l1,europe_eu_gdtr_l1,europe_eu_ndtr_l2,europe_eu_gdtr_l2
2005-12-29,365,1634.324,3683.32735757947,4339.71167928056,14678.9758,20376.21259
2005-12-30,365,1624.599,3661.41012369811,4313.88867672014,14503.33076,20132.39556
2005-12-31,365,1625.821,3664.14779003129,4317.0953397781,14525.0279,20162.33775
2006-01-01,365,1627.819,3668.79123993037,4322.59774245076,14560.6282,20212.04906
2006-01-02,365,1630.319,3674.65605681207,4329.56898011776,14605.34164,20274.69008
2006-01-03,365,1640.723,3698.10520411055,4357.19755714442,14790.79075,20532.12697
2006-01-04,365,1656.491,3733.81833322731,4399.27670752483,15075.50399,20927.36736
2006-01-05,365,1651.145,3721.76832195049,4385.07918691033,14977.21972,20790.933
2006-01-06,365,1662.316,3746.96075086311,4414.76705532291,15179.00547,21071.09841
2006-01-07,365,1663.376,3749.42083379115,4417.69708723678,15197.33684,21096.84622
2006-01-08,365,1664.298,3751.51398615553,4420.16817048183,15213.22148,21118.94358
2006-01-09,365,1665.041,3753.12281330781,4422.03119655423,15225.97089,21136.33121
2006-01-10,365,1654.951,3730.62063022999,4395.56858825131,15042.40314,20881.98551
2006-01-11,365,1664.053,3751.17365733485,4419.78593465129,15207.17174,21110.72751
2006-01-12,365,1669.837,3764.43115642403,4435.45727161326,15313.67381,21259.05999
2006-01-13,365,1660.152,3742.60442629872,4409.74120210014,15135.1059,21011.17793
2006-01-14,365,1661.105,3744.74615575899,4412.25811379403,15151.76647,21034.24401
2006-01-15,365,1662.271,3747.4465218221,4415.46876193449,15172.16452,21062.83721
2006-01-16,365,1663.23,3749.60386534892,4418.0046027703,15188.92997,21086.05401
2006-01-17,365,1650.81,3721.60466340121,4385.01442931958,14961.11583,20769.79202
2006-01-18,365,1636.53,3689.70599291006,4347.42945573736,14703.69049,20412.42018
2006-01-19,365,1645.399,3709.7015400096,4370.98959561375,14862.10421,20632.3402
2006-01-20,365,1635.019,3686.29952406012,4343.41581347157,14673.63316,20370.6936
2006-01-21,365,1633.672,3683.24350425917,4339.8056608097,14648.35293,20335.51039
2006-01-22,365,1632.641,3680.9574892581,4337.13133835675,14629.20243,20309.10463
2006-01-23,365,1631.277,3677.86156684266,4333.47402888521,14603.60715,20273.48279
2006-01-24,365,1627.517,3669.38573105638,4323.48708003042,14535.35239,20178.72597
2006-01-25,365,1645.458,3709.88225837232,4371.20346170834,14855.24525,20622.82689
2006-01-26,365,1661.176,3745.31953898023,4412.95782786436,15138.08259,21015.47701
