date,na_model,eu_model,pc_model,em_model
1983-12-07,2.3043653620771,1.77390622167233,3.05019755099062,
1983-12-08,2.30030968072155,1.77150766049,3.05241527818132,
1983-12-09,2.28991828911552,1.76422760703035,3.04621792200038,
1983-12-10,2.28984120025653,1.76488778017829,3.05369154773916,
1983-12-11,2.29175921639507,1.76708591915725,3.06384414247908,
1983-12-12,2.29172497360627,1.76778024659919,3.07141837618804,
1983-12-13,2.2775682289444,1.75758109606499,3.06008405743667,
1983-12-14,2.26595687918721,1.74933756482722,3.05209399767949,
1983-12-15,2.25436024395843,1.74109835774255,3.04406488653564,
1983-12-16,2.25792442792052,1.7445611967876,3.05644842794834,
1983-12-17,2.25581555674474,1.74364334368856,3.06119536511053,
1983-12-18,2.2517965633748,1.74124801301878,3.06335492056799,
1983-12-19,2.24968713029178,1.74032704286129,3.06810403364419,
1983-12-20,2.25450015106751,1.74476014631548,3.08229859757654,
1983-12-21,2.27062881852435,1.75795376463653,3.11201523573607,
1983-12-22,2.27290501292968,1.76043303339962,3.12287469682385,
1983-12-23,2.27266471980815,1.7609649364222,3.13031137053607,
1983-12-24,2.27137619753973,1.76068476441657,3.13632191408877,
1983-12-25,2.26945459281994,1.75991332916553,3.14146882798047,
1983-12-26,2.26817756602304,1.75964082756862,3.14751418821134,
1983-12-27,2.28798714294372,1.77572669253967,3.18283173177401,
1983-12-28,2.29649890215762,1.78305699776695,3.20258843162086,
1983-12-29,2.29748949843648,1.78455336529534,3.21193495053396,
1983-12-30,2.29972847048379,1.78702032084042,3.22305340278526,
1983-12-31,2.29979288236922,1.78779923379497,3.23115965386147,
1984-01-01,2.29853416171546,1.78993638419332,3.23592671848725,
1984-01-02,2.29610831382008,1.79116667644924,3.23905673899839,
1984-01-03,2.28320737050787,1.78422432029505,3.22740924695872,
1984-01-04,2.29525004651895,1.79674454936875,3.25096002822513,
1984-01-05,2.31723708949905,1.81708746152653,3.2886777576221,
1984-01-06,2.32674623082156,1.82771084991506,3.30882523594954,
1984-01-07,2.32517115196935,1.82965879269536,3.31327797505226,
1984-01-08,2.32217551083003,1.83049014331223,3.3157109412111,
1984-01-09,2.31792956288486,1.83033325606478,3.31635493661363,
1984-01-10,2.30879251031697,1.82630803299262,3.30999004976981,
1984-01-11,2.30338731385348,1.82521515562067,3.30893590134213,
1984-01-12,2.30418438654084,1.82902761273287,3.31677379289873,
1984-01-13,2.30745498511884,1.83481126265615,3.32819038663681,
