"date","sim_price","sim_gdtr_l1","sim_ndtr_l1","sim_gdtr_l2","sim_ndtr_l2","letf_acwi_usd_sim","letf_acwi_eur_sim"
2012-05-13,314.650956642218,555.370493044383,493.602779947662,624.30745,502.37784,375.682814353877,379.972806211503
2012-05-14,312.694447415555,551.970514704649,490.576179922091,616.61921,496.2073,371.056182885834,376.03339420842
2012-05-15,310.142029171923,547.606975516652,486.672901644275,606.86743,488.30148,365.132238793569,370.605914371537
2012-05-16,307.144667447524,542.491912085828,482.097731241672,595.52767,479.11105,358.248103802175,366.616706281723
2012-05-17,304.067132493262,537.146444310028,477.328712404452,583.78899,469.62284,351.141760928295,360.9326989261
2012-05-18,300.56562205605,531.090712405306,471.923164185855,570.62332,458.97721,343.17047089521,351.656573423963
2012-05-19,301.152729912314,532.142125716927,472.854715660633,572.84222,460.78031,344.507437394995,352.734695164964
2012-05-20,302.318926044838,534.280082971656,474.740802545822,577.43868,464.44722,347.237814479906,355.31300722471
2012-05-21,303.75185472108,536.890134618758,477.046660345468,583.07819,468.94991,350.592873776831,358.444457695445
2012-05-22,305.87673056042,540.696315414882,480.421492862047,591.3429,475.57593,355.535143378092,362.987602681626
2012-05-23,302.153727840145,534.156965276689,474.604340046958,577.03657,464.04991,346.9068345386,357.22635530323
2012-05-24,303.283040616815,536.250566614739,476.445530659166,581.5574,467.64157,349.580522444705,362.905166867793
2012-05-25,302.637159868077,535.185962491295,475.497166176811,579.24583,465.77095,348.170766579649,361.759379658781
2012-05-26,302.786876829256,535.419027777116,475.709305685605,579.59409,466.17761,348.463403354753,361.9089950267
2012-05-27,303.028372928442,535.868022718015,476.104984114479,580.60105,466.94417,349.025042577153,362.232969507419
2012-05-28,303.288337458928,536.363578946802,476.539535694939,581.78758,467.78748,349.644012890297,362.711281605592
2012-05-29,306.34030690876,541.830342139011,481.380979795569,593.64458,477.2835,356.730341450644,371.331950984295
2012-05-30,301.273303482829,533.07672683154,473.572058333377,574.46063,461.78934,345.138098698331,361.721715970528
2012-05-31,300.377374186422,531.598952106999,472.24848664456,571.27318,459.19915,343.190960115361,360.696548828244
2012-06-01,294.359026459572,520.993042416225,462.817534895305,548.4758,440.84954,329.465855038926,348.547585566189
2012-06-02,294.030939924123,520.410389555528,462.300581101884,547.17877,439.85611,328.712683963365,346.97092893316
2012-06-03,293.721928929982,519.868189208011,461.818324921903,546.00423,438.92983,328.009744136385,344.578484226442
2012-06-04,293.487369652241,519.478759997424,461.46806008932,545.28031,438.2554,327.495055888947,343.25655324066
2012-06-05,295.233845148726,522.593955543444,464.231453405059,551.81777,443.49554,331.400180824469,347.574261840814
2012-06-06,301.547358478697,534.052867614155,474.382408346938,576.01476,462.88208,345.875890391106,361.128821930651
2012-06-07,303.583153176046,537.685434962361,477.60533256868,583.8482,469.16267,350.557615478706,362.822767929332
2012-06-08,302.828201509588,536.406920185649,476.455766270372,581.06905,466.89495,348.851753167542,364.731595202934
2012-06-09,302.536209367439,535.87468024706,475.984410831568,579.77438,465.96201,348.14331481914,363.382782069315
2012-06-10,302.321432148929,535.507211563848,475.655097593042,578.95484,465.30809,347.643391997531,361.84586603088
2012-06-11,302.174439638729,535.289708122745,475.454228342075,578.64086,464.90597,347.331627536844,360.94182231968
2012-06-12,303.837560180884,538.259214568951,478.088660346947,585.0583,470.04891,351.162601864308,366.44268170766
2012-06-13,303.720792315515,538.179728020784,477.987154123178,584.8829,469.84004,350.995114767056,365.041690997094
2012-06-14,304.771248929816,540.10496531562,479.690921493231,589.06492,473.18033,353.479046601312,367.127384380216
2012-06-15,308.051309847511,545.923821715721,484.857946714221,601.75495,483.36466,361.075507552914,373.675707437146
2012-06-16,308.433986745229,546.641416374291,485.487122714262,603.3591,484.60952,361.993655133149,374.342766698118
2012-06-17,308.74969065065,547.215123503894,485.993212718172,604.5726,485.61036,362.729464481016,374.862529357351
2012-06-18,309.131498775896,547.930844114631,486.620799796618,606.17137,486.85496,363.647303471758,375.683079722391
2012-06-19,312.9164190285,554.671400725474,492.602018004329,621.08268,498.8136,372.567736248172,384.869615667784
2012-06-20,313.691064041072,556.081254158367,493.850540861521,624.23715,501.33251,374.436986788784,384.208770548396
2012-06-21,307.979267352577,546.018311000412,484.899702095677,601.64169,483.14976,360.844386827562,371.258651325577
2012-06-22,307.076972706418,544.428901006581,483.487631169173,598.13626,480.32632,358.723916622874,372.930156226334
2012-06-23,305.752871774343,542.099283533912,481.414938375708,593.00968,476.19858,355.629489373852,370.306571007443
2012-06-24,303.905890939808,538.852780393277,478.524024864036,585.88547,470.47003,351.339764658366,366.320698400985
2012-06-25,302.65494175456,536.652016651484,476.565993087083,581.03985,466.61067,348.446203159168,363.726182138317
2012-06-26,303.248769266957,537.726622599277,477.516094297693,583.36415,468.46211,349.817427922435,365.536024171423
2012-06-27,306.026046294374,542.807114506808,482.000991782689,594.38481,477.25291,356.370431643861,372.295214140636
2012-06-28,305.360257795033,541.679610711602,480.990031179815,591.91279,475.2418,354.857096940045,372.504429528085
2012-06-29,314.617029700583,558.118333799602,495.573560049042,627.83639,504.05196,376.357716807198,389.677639129772
2012-06-30,315.043599166492,558.887459596668,496.253840201786,629.57824,505.4267,377.371920048385,390.698221084859
2012-07-01,315.419795257261,559.556370426987,496.847025280112,631.04781,506.62527,378.254521256758,391.577474555883
2012-07-02,315.851599073534,560.335725833221,497.536210784122,632.81628,508.02069,379.28403595654,392.613585849502
2012-07-03,318.92581178848,565.875204152145,502.433858367224,645.32538,518.01237,386.731379697358,400.897364301656
2012-07-04,318.630001059696,565.455748760799,502.043833543096,644.36563,517.19795,386.110755463887,400.732159197577
2012-07-05,316.851362069449,562.330333959466,499.263738074774,637.23944,511.45981,381.814400261385,400.543528156052
2012-07-06,313.563527027236,556.587889012468,494.140796190135,624.22162,500.95359,373.958864569341,393.85770942187
2012-07-07,312.981509175489,555.562619185818,493.229383372785,621.90006,499.0958,372.559847261538,393.535248827408
2012-07-08,312.549488328934,554.813911191669,492.561555931149,620.25329,497.73444,371.531490827575,393.40309293644
2012-07-09,311.963772321851,553.782563651879,491.644637315713,617.92032,495.87157,370.128851381836,392.487214336008
2012-07-10,310.716223648746,551.581975925629,489.688120557024,613.00648,491.91515,367.163633887173,389.596545545291
2012-07-11,310.643371294847,551.497405634444,489.602318790882,612.8156,491.73309,367.015778291266,390.233845268799
2012-07-12,307.347781669554,545.684192085554,484.435145763233,599.89361,481.34394,359.249646422457,384.547400257845
2012-07-13,311.880595646967,553.775761168859,491.610161412263,617.68161,495.59272,369.872473081916,395.691657488127
2012-07-14,311.875604289789,553.777811232235,491.610124460598,617.71308,495.58269,369.852932479739,395.752714176207
2012-07-15,311.866796363784,553.751170762203,491.58835992991,617.57872,495.52886,369.800704856333,395.793240679275
2012-07-16,311.862353278839,553.757196706066,491.59138996644,617.6315,495.52506,369.785816373268,395.859252176365
2012-07-17,312.970362321112,555.752622786889,493.358714200303,622.07978,499.07826,372.425341443158,395.310811436028
2012-07-18,315.093094852131,559.578558739182,496.743819279753,630.64195,505.91729,377.516667561686,402.250399408506
2012-07-19,317.47208484861,563.837513633439,500.516288663451,640.23862,513.59222,383.23141419669,406.58108934895
2012-07-20,313.624464284309,557.014509271774,494.457139394244,624.74057,501.14774,373.933121809731,399.54344368462
2012-07-21,311.743262229722,553.679397836334,491.495352589092,617.27711,495.13471,369.434291326918,396.099363362651
2012-07-22,310.149933670104,550.847649436678,488.981937287112,610.87984,490.06145,365.636944985329,393.043152977007
2012-07-23,308.299546403145,547.567340958051,486.068815824772,603.54026,484.2131,361.261549090769,389.032061976307
2012-07-24,306.13066701504,543.737708679368,482.6649392995,595.09527,477.42206,356.183117890914,384.073983704671
2012-07-25,305.718455975952,543.043275595404,482.046072813995,593.57255,476.1887,355.251354677646,381.647568118166
2012-07-26,311.98115458278,554.189687601403,491.936149000938,617.93699,495.71953,369.810373595813,393.205231612844
2012-07-27,317.987754869701,564.888481729276,501.427295012486,641.79309,514.83843,384.061159049209,406.470108613223
2012-07-28,318.44471383889,565.722722923167,502.163556937712,643.74941,516.3407,385.169310802723,408.215302180775
2012-07-29,318.880706977832,566.512152630739,502.861463034663,645.56644,517.76615,386.220085402431,410.562427807509
2012-07-30,319.154879283277,566.983625791785,503.282416402401,646.54517,518.62328,386.846861203896,411.788456181468
2012-07-31,318.5612682352,565.943208274635,502.356703290694,644.16944,516.70579,385.403975917537,408.986501212558
2012-08-01,318.084958044417,565.170665705277,501.657725595458,642.40789,515.25822,384.311691524477,407.361475690187
2012-08-02,314.768991448624,559.30742232693,496.447060458097,629.07598,504.54459,376.308273009237,397.32793004057
2012-08-03,320.596581113566,569.703852814561,505.664764148608,652.45978,523.27122,390.263031078952,415.460491651919
2012-08-04,321.479047088877,571.286149709709,507.067855820515,656.09605,526.16525,392.408719779861,416.634700993963
2012-08-05,322.147974028568,572.477940593305,508.125855892941,658.79481,528.35105,394.026077819249,416.677453768344
2012-08-06,323.038394485607,574.074163424012,509.54128942096,662.46144,531.28468,396.201036180181,417.216275008244
2012-08-07,324.960848626845,577.503515651613,512.582448402542,670.37324,537.61667,400.910150839363,420.241511207942
2012-08-08,325.00721946848,577.910981278366,512.913424465993,671.31631,538.30098,401.407386205475,424.174368820938
2012-08-09,325.750758950217,579.373080265779,514.175915052556,674.71025,540.94098,403.362933510438,427.450188583389
2012-08-10,325.875847413206,579.618021423783,514.388091513015,675.27785,541.37736,403.675182052365,429.143979793731
2012-08-11,325.701700735108,579.329376641992,514.12669543477,674.60614,540.81712,403.244285357585,427.960495514291
2012-08-12,325.301413393129,578.655889407571,513.519616530401,673.00915,539.52989,402.271357750521,425.753311787084
2012-08-13,325.127249687351,578.370392197832,513.260696213711,672.36216,538.97583,401.845141869483,424.532187212994
2012-08-14,325.602249777772,579.270732404813,514.046768983364,674.45263,540.61674,403.055460937305,425.364241549976
2012-08-15,325.322456029925,578.994750388218,513.774656922266,673.80709,540.03434,402.608117584903,427.521505591832
2012-08-16,327.793675807671,583.428385177503,517.70176902401,684.12356,548.28001,408.74233378473,433.928743021762
2012-08-17,328.175405830081,584.122259153274,518.31542532475,685.74791,549.56963,409.690422687442,432.88981778546
2012-08-18,328.12397776854,584.090213970706,518.2816884546,685.73852,549.48787,409.616119916389,433.195758120484
2012-08-19,328.045199203875,583.949080567284,518.161484688339,685.26636,549.22283,409.405195348668,433.490365353863
2012-08-20,327.991193101227,583.90940459326,518.121318228478,685.23942,549.12747,409.320768049004,433.801151866725
2012-08-21,329.072629121956,585.88195900743,519.867025738313,689.86625,552.81765,412.058095275173,432.200937522014
2012-08-22,327.575117214255,583.264421522849,517.538368761358,683.69913,547.85484,408.34549615155,427.620182861296
2012-08-23,327.200919722609,582.611849076405,516.956712602513,682.16634,546.61321,407.406734044574,423.105433167744
2012-08-24,326.962674155034,582.243106868975,516.618457061057,681.29997,545.88775,406.852749288705,424.046922547397
2012-08-25,326.942737640925,582.199392891333,516.581209782732,681.15692,545.79896,406.773313428843,423.794448518157
2012-08-26,326.944875957028,582.271538555997,516.637782781854,681.41626,545.90835,406.841582001585,423.605705953288
2012-08-27,326.926597052445,582.230081718839,516.603306878405,681.26089,545.8254,406.766503115365,423.177571997329
2012-08-28,326.243009477508,581.055291865866,515.553842640595,678.50881,543.59754,405.092973324039,420.834531514684
2012-08-29,325.852809879838,580.47159326577,515.014717848171,677.14278,542.45063,404.225084476697,420.033034282207
2012-08-30,322.998703445232,575.453638645061,510.551104522219,665.43264,533.03757,397.19745590242,412.761643881546
2012-08-31,324.723248594365,578.532461096941,513.281463049443,672.5503,538.72891,401.42546050342,414.941839272081
2012-09-01,324.961505317002,579.020821396201,513.708291731917,673.8123,539.61492,402.072573700872,415.998594431689
2012-09-02,325.158713714138,579.400259136294,514.043517236843,674.70429,540.30907,402.576687485092,417.191890575128
2012-09-03,325.300166460721,579.628820495001,514.251887675807,675.09094,540.73698,402.882396324675,417.871073069303
2012-09-04,323.710346632689,576.817168928742,511.755617946389,668.53868,535.47718,398.950390117066,413.43394357575
2012-09-05,323.059765234714,575.808351378378,510.840029590893,666.19742,533.5507,397.502088262622,411.964152428291
2012-09-06,328.949786625312,586.395458467683,520.219027299151,690.6927,553.13235,412.077712202805,425.039576809134
2012-09-07,332.947421374228,593.566486972054,526.569244833603,707.58272,566.62575,422.116721012713,433.066785210636
2012-09-08,332.574846889451,592.925148458756,525.996974397669,706.0802,565.38327,421.177358354298,431.048917155558
2012-09-09,332.067643304032,592.03556590757,525.206171814896,703.89027,563.67246,419.889178178198,428.94783303311
2012-09-10,331.710151502384,591.42160298804,524.65803081621,702.45996,562.4851,418.991008435512,427.505953518496
2012-09-11,333.045137119021,593.815207287292,526.780054082457,708.14299,567.02438,422.358628815209,430.567624885803
2012-09-12,334.383247570877,596.311915278957,528.969883653987,714.09478,571.72784,425.848322634223,430.455809080933
2012-09-13,337.377884464051,601.691322992869,533.731844723191,726.97565,582.0107,433.493574731908,437.709108041126
2012-09-14,342.76323815381,611.301398867992,542.256150419882,750.19476,600.59017,447.31781870117,445.288611123471
2012-09-15,342.432744182143,610.733665912975,541.749247479342,748.85728,599.45564,446.458244947593,444.531874201075
2012-09-16,342.039879349441,610.046635835646,541.138103891823,747.17281,598.09159,445.427786552843,443.604571126806
2012-09-17,341.521383447712,609.122119376226,540.318885478661,744.83628,596.26912,444.055987343342,442.348369126531
2012-09-18,340.131815992085,606.655002703392,538.12735613054,738.7995,591.42062,440.430719729391,439.810661620194
2012-09-19,341.205812914671,608.60474757404,539.852038142987,743.5453,595.20026,443.231061626845,444.375062646256
2012-09-20,339.174646768483,605.02956129265,536.66976075275,734.80639,588.17168,437.982604278419,440.740228121398
2012-09-21,340.318568867309,607.079966345828,538.487191444359,739.78373,592.14413,440.926418131151,442.541533215881
2012-09-22,340.085775046912,606.691800305604,538.138182968386,738.89637,591.36518,440.33202026036,442.501737305168
2012-09-23,339.524620715987,605.722493067576,537.272072892332,736.51298,589.45027,438.891821980367,442.398928818503
2012-09-24,338.834684105828,604.520741775053,536.19977252555,733.53708,587.086,437.117133601537,441.162773386933
2012-09-25,337.713339414238,602.587035026472,534.468180551748,728.84119,583.28289,434.271266827763,437.752773601049
2012-09-26,333.256405663672,595.191555644001,527.85981868557,710.94818,568.84791,423.50984578362,429.792408119883
2012-09-27,335.991277956964,600.106665418682,532.211135901573,722.68725,578.21561,430.470337726978,435.874153706422
2012-09-28,334.240103257096,596.99596344592,529.448592474128,715.19199,572.20278,425.979872093954,429.461542473198
2012-09-29,334.710739374339,597.849742365015,530.203145473532,717.22852,573.82355,427.172580625183,431.126180826503
2012-09-30,335.486486572258,599.261469845742,531.451040152418,720.61094,576.51395,429.161477808728,433.983831176099
2012-10-01,335.972625644744,600.148111901985,532.233787272221,722.73542,578.20118,430.403477630998,435.705464078684
2012-10-02,336.174700915774,600.526876641474,532.565095900656,723.64467,578.90985,430.916972139135,434.438995023538
2012-10-03,335.884420355828,600.074154312619,532.147394279439,722.55057,577.99055,430.218638013104,434.604217705285
2012-10-04,338.259120964934,604.321067673006,535.912547233466,732.77495,586.15853,436.28433020417,439.133631488598
2012-10-05,339.665024468422,606.927112378055,538.198783698995,739.09184,591.1485,439.984201028882,441.119821742499
2012-10-06,339.328445044286,606.337563849638,537.674513475903,737.71174,589.98543,439.104202957656,440.649679406218
2012-10-07,338.440319792954,604.764015962332,536.276890650416,733.86732,586.90693,436.798678558578,438.99653667811
2012-10-08,337.353114246655,602.825204763022,534.557344919405,729.09213,583.13181,433.974853010247,436.571472325509
2012-10-09,334.421369742481,597.593298073624,529.916326649762,716.43346,572.99503,426.416775267046,429.134929987962
2012-10-10,332.380225551225,593.993604216421,526.719638110173,707.79932,566.07079,421.249932003952,426.043789507106
2012-10-11,333.364251927658,595.803903362083,528.311811451912,712.1106,569.48212,423.77479408005,427.630656922956
2012-10-12,332.768741798579,594.749011155037,527.374421614064,709.58596,567.45018,422.248933154695,424.384589250325
2012-10-13,333.040363573316,595.21491394186,527.790829927006,710.62345,568.33528,422.893788454464,425.021680758812
2012-10-14,333.596764109212,596.213998868117,528.675970110537,713.0164,570.23057,424.290275696749,426.414133007342
2012-10-15,334.212227973941,597.330641468972,529.663318599473,715.73715,572.34939,425.852993116015,427.973570376327
2012-10-16,338.262631010569,604.570388511859,536.082857457474,733.08381,586.21215,436.153613704067,435.806796731247
